filler_type,silane_content,filler_amount,fp_before,ep_before,fp_after,ep_after,rho_before,rho_after,P_strength,manufacturer,rubber_type
шпинель,0,40,8.0,350,4.3,100,42000000000000.0,6700000000000.0,95,Дубна,СКТВ-1
шпинель,5,40,6.2,400,4.0,90,40000000000000.0,6600000000000.0,65,Дубна,СКТВ-1
волластонит,0,40,8.0,350,4.3,84,38000000000000.0,1700000000000.0,250,Дубна,СКТВ-1
волластонит,5,40,7.1,440,4.1,78,39000000000000.0,1500000000000.0,215,Дубна,СКТВ-1
Al2O3,0,40,5.7,230,5.4,140,40000000000000.0,800000000000.0,230,Дубна,СКТВ-1
Al2O3,5,40,4.9,280,5.3,110,42000000000000.0,1000000000000.0,170,Дубна,СКТВ-1
