filler_type,silane_content,filler_amount,fp_before,ep_before,fp_after,ep_after,rho_before,rho_after,P_strength,manufacturer,rubber_type
шпинель,0,40,8.0,350,4.30,100,4.2e13,6.7e12,95,Дубна,СКТВ-1
шпинель,5,40,6.2,400,4.0,90,4.0e13,6.6e12,65,Дубна,СКТВ-1
волластонит,0,40,8.0,350,4.3,84,3.8e13,1.7e12,250,Дубна,СКТВ-1
волластонит,5,40,7.1,440,4.1,78,3.9e13,1.5e12,215,Дубна,СКТВ-1
Al2O3,0,40,5.7,230,5.4,140,4.0e13,0.8e12,230,Дубна,СКТВ-1
Al2O3,5,40,4.9,280,5.3,110,4.2e13,1.0e12,170,Дубна,СКТВ-1
